Query	2	4	8	10	15	20	25	30	50	100	
fantasy sequence	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
farce	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
father daughter relationship	1.0	0.862410150875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
father son relationship	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
femme fatale	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
fictional biography	1.0	0.824678521322	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
flashback	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
french new wave	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
futuristic	1.0	0.745574987378	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
good versus evil	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
heist	0.533096775583	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
hero	0.502703438638	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
high school	0.298996350272	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
husband wife relationship	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
idealism	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
independent film	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
investigation	1.0	0.87642564681	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
alternate history	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
ambiguous ending	1.0	0.834403052484	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
americana	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
anime	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
anti hero	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
avant-garde	0.588381664991	1.0	1.0	0.964970395148	1.0	1.0	1.0	1.0	1.0	1.0	
b movie	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
bank heist	0.588359088516	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
based on book	0.405560643068	0.6466017721	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
based on play	0.590010349314	1.0	0.889967807511	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
based on comic	1.0	0.884933751501	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
based on comic book	1.0	1.0	0.897403805827	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
based on novel	0.261798976043	0.835133400599	0.917833077504	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
based on novella	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
based on short story	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
battle	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
betrayal	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
biker	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
